"","DATE","TEAM","ID.TEAM","OPPTEAM","FGM.TEAM","FGA.TEAM","X3PM.TEAM","X3PA.TEAM","FTA.TEAM","FTM.TEAM","OREB.TEAM","DREB.TEAM","REB.TEAM","AST.TEAM","TOV.TEAM","STL.TEAM","BLK.TEAM","PF.TEAM","PTS.TEAM","P.M.TEAM","HOME.TEAM","FGM.AVG.TEAM","FGA.AVG.TEAM","X3PM.AVG.TEAM","X3PA.AVG.TEAM","FTA.AVG.TEAM","FTM.AVG.TEAM","OREB.AVG.TEAM","DREB.AVG.TEAM","REB.AVG.TEAM","AST.AVG.TEAM","TOV.AVG.TEAM","STL.AVG.TEAM","BLK.AVG.TEAM","PF.AVG.TEAM","PTS.AVG.TEAM","P.M.AVG.TEAM","FGM.AVG.5.TEAM","FGA.AVG.5.TEAM","X3PM.AVG.5.TEAM","X3PA.AVG.5.TEAM","FTA.AVG.5.TEAM","FTM.AVG.5.TEAM","OREB.AVG.5.TEAM","DREB.AVG.5.TEAM","REB.AVG.5.TEAM","AST.AVG.5.TEAM","TOV.AVG.5.TEAM","STL.AVG.5.TEAM","BLK.AVG.5.TEAM","PF.AVG.5.TEAM","PTS.AVG.5.TEAM","P.M.AVG.5.TEAM","TEAM.1","FGM.OPP","FGA.OPP","X3PM.OPP","X3PA.OPP","FTA.OPP","FTM.OPP","OREB.OPP","DREB.OPP","REB.OPP","AST.OPP","TOV.OPP","STL.OPP","BLK.OPP","PF.OPP","PTS.OPP","P.M.OPP","HOME.OPP","FGM.AVG.OPP","FGA.AVG.OPP","X3PM.AVG.OPP","X3PA.AVG.OPP","FTA.AVG.OPP","FTM.AVG.OPP","OREB.AVG.OPP","DREB.AVG.OPP","REB.AVG.OPP","AST.AVG.OPP","TOV.AVG.OPP","STL.AVG.OPP","BLK.AVG.OPP","PF.AVG.OPP","PTS.AVG.OPP","P.M.AVG.OPP","FGM.AVG.5.OPP","FGA.AVG.5.OPP","X3PM.AVG.5.OPP","X3PA.AVG.5.OPP","FTA.AVG.5.OPP","FTM.AVG.5.OPP","OREB.AVG.5.OPP","DREB.AVG.5.OPP","REB.AVG.5.OPP","AST.AVG.5.OPP","TOV.AVG.5.OPP","STL.AVG.5.OPP","BLK.AVG.5.OPP","PF.AVG.5.OPP","PTS.AVG.5.OPP","P.M.AVG.5.OPP","SPREAD","EFF.FG.TEAM","NRtg.TEAM.AVG"
"11","2016-10-26","DENVER NUGGETS",18,"NEW ORLEANS PELICANS",37,83,8,24,25,33,11,47,58,18,24,7,4,22,107,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NEW ORLEANS PELICANS",38,92,3,19,23,26,5,28,33,31,11,16,5,29,102,-5,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"12","2016-10-26","DETROIT PISTONS",14,"TORONTO RAPTORS",35,84,4,22,17,22,8,32,40,17,13,8,0,24,91,-18,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TORONTO RAPTORS",41,86,3,18,24,29,14,37,51,17,11,8,0,22,109,18,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,0,0
"13","2016-10-26","HOUSTON ROCKETS",25,"LOS ANGELES LAKERS",44,86,7,29,19,27,10,29,39,29,14,10,1,23,114,-6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LOS ANGELES LAKERS",45,89,12,35,18,22,11,28,39,21,15,10,4,24,120,6,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0
"14","2016-10-26","INDIANA PACERS",17,"DALLAS MAVERICKS",47,93,10,19,26,34,8,44,52,30,16,11,6,23,130,9,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DALLAS MAVERICKS",45,104,18,48,13,18,10,39,49,26,15,8,8,27,121,-9,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"15","2016-10-26","LOS ANGELES LAKERS",9,"HOUSTON ROCKETS",45,89,12,35,18,22,11,28,39,21,15,10,4,24,120,6,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HOUSTON ROCKETS",44,86,7,29,19,27,10,29,39,29,14,10,1,23,114,-6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"16","2016-10-26","MEMPHIS GRIZZLIES",23,"MINNESOTA TIMBERWOLVES",36,80,11,24,19,27,11,34,45,19,13,6,11,25,102,4,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MINNESOTA TIMBERWOLVES",36,86,6,18,20,29,15,30,45,20,10,6,5,23,98,-4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"17","2016-10-26","MIAMI HEAT",11,"ORLANDO MAGIC",47,97,4,16,10,16,16,36,52,27,10,5,7,22,108,12,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ORLANDO MAGIC",34,89,6,18,22,28,15,30,45,20,11,5,4,15,96,-12,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"18","2016-10-26","MILWAUKEE BUCKS",8,"CHARLOTTE HORNETS",39,92,3,16,15,20,10,36,46,23,8,4,5,22,96,-11,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHARLOTTE HORNETS",40,89,7,23,20,24,11,40,51,27,10,5,10,22,107,11,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,0,0
"19","2016-10-26","MINNESOTA TIMBERWOLVES",10,"MEMPHIS GRIZZLIES",36,86,6,18,20,29,15,30,45,20,10,6,5,23,98,-4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MEMPHIS GRIZZLIES",36,80,11,24,19,27,11,34,45,19,13,6,11,25,102,4,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0
"20","2016-10-26","NEW ORLEANS PELICANS",21,"DENVER NUGGETS",38,92,3,19,23,26,5,28,33,31,11,16,5,29,102,-5,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DENVER NUGGETS",37,83,8,24,25,33,11,47,58,18,24,7,4,22,107,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,0
"21","2016-10-26","OKLAHOMA CITY THUNDER",12,"PHILADELPHIA 76ERS",39,94,6,22,19,26,13,40,53,19,10,7,3,23,103,6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHILADELPHIA 76ERS",36,84,7,24,18,25,5,38,43,21,13,5,10,22,97,-6,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"22","2016-10-26","ORLANDO MAGIC",24,"MIAMI HEAT",34,89,6,18,22,28,15,30,45,20,11,5,4,15,96,-12,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MIAMI HEAT",47,97,4,16,10,16,16,36,52,27,10,5,7,22,108,12,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,0,0
"23","2016-10-26","PHILADELPHIA 76ERS",20,"OKLAHOMA CITY THUNDER",36,84,7,24,18,25,5,38,43,21,13,5,10,22,97,-6,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OKLAHOMA CITY THUNDER",39,94,6,22,19,26,13,40,53,19,10,7,3,23,103,6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0
"24","2016-10-26","PHOENIX SUNS",22,"SACRAMENTO KINGS",36,77,4,16,18,27,10,31,41,20,18,6,3,29,94,-19,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SACRAMENTO KINGS",44,86,6,21,19,26,10,31,41,24,13,5,5,20,113,19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,0,0
"25","2016-10-26","SACRAMENTO KINGS",7,"PHOENIX SUNS",44,86,6,21,19,26,10,31,41,24,13,5,5,20,113,19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHOENIX SUNS",36,77,4,16,18,27,10,31,41,20,18,6,3,29,94,-19,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"26","2016-10-26","TORONTO RAPTORS",15,"DETROIT PISTONS",41,86,3,18,24,29,14,37,51,17,11,8,0,22,109,18,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DETROIT PISTONS",35,84,4,22,17,22,8,32,40,17,13,8,0,24,91,-18,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"27","2016-10-27","ATLANTA HAWKS",34,"WASHINGTON WIZARDS",44,88,12,26,14,18,14,38,52,28,21,13,7,19,114,15,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"WASHINGTON WIZARDS",40,94,6,20,13,18,12,28,40,25,19,14,4,20,99,-15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"28","2016-10-27","BOSTON CELTICS",32,"CHICAGO BULLS",38,76,8,23,15,24,3,33,36,22,11,6,6,25,99,-6,FALSE,48,89,11,32,15,18,12,35,47,36,19,13,9,20,122,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CHICAGO BULLS",36,92,11,25,22,30,18,37,55,25,12,5,1,21,105,6,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0.601123595505618,0
